Rank,Route_ID,Zone_ID,Location,Score,Households,Conversion_Rate,Saturation,Freshness,Daily_kWh,Expected_Closes,Latitude,Longitude,Priority
843,714,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
844,715,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
845,716,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
846,717,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
847,718,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
848,719,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
849,720,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
850,721,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
851,722,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
852,723,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
853,724,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
854,725,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
855,726,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
856,727,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
857,728,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
858,1306,140,Fredericksburg,60.3,150,49%,30%,70%,705600,73.5,38.3519,-77.4971,MODERATE
859,285,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
860,286,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
861,287,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
862,288,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
863,289,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
