Rank,Zone_ID,Location,Score,Daily_kWh,Census_Blocks,LMI_Pct,Qualifying_Households,Area_km2,Latitude,Longitude,Tier
138,249,Newport News,47.1,48000,1,83%,414,13.03,37.1334,-76.6004,Tier3
139,183,Chesapeake,47.1,48000,1,58%,290,0.45,36.7933,-76.1649,Tier3
140,254,Rural (37.79°N),47.0,48000,1,68%,340,3.29,37.7916,-79.9800,Tier3
141,212,Sterling,46.8,48000,1,54%,268,0.31,38.9973,-77.4183,Tier3
142,149,Newport News,46.8,48000,1,64%,322,1.55,37.0718,-76.5013,Tier3
143,128,Chesapeake,46.8,48000,1,59%,294,0.51,36.7665,-76.2215,Tier3
144,234,Rural (37.92°N),46.2,48000,1,66%,329,2.69,37.9222,-76.8691,Tier3
145,7,Virginia Beach,46.1,48000,27,64%,8650,16.26,36.8432,-76.1276,Tier3
146,185,Fredericksburg,45.9,48000,1,59%,296,0.61,38.2930,-77.4373,Tier3
147,97,Rural (38.42°N),45.9,48000,2,58%,582,9.68,38.4202,-78.9129,Tier3
148,24,Fredericksburg,45.9,48000,6,62%,1854,12.04,38.2295,-77.5162,Tier3
149,98,Newport News,45.7,48000,2,60%,600,10.58,37.2672,-76.5117,Tier3
150,248,Norfolk,45.6,48000,1,61%,307,1.01,36.8342,-76.1888,Tier3
151,162,Colonial Heights,45.5,48000,1,62%,312,1.45,37.3535,-77.4315,Tier3
152,217,Alexandria,45.3,48000,1,52%,262,0.33,38.7917,-77.0793,Tier3
153,192,Newport News,45.1,48000,1,59%,294,0.71,37.0978,-76.4624,Tier3
154,228,Rural (37.04°N),45.0,48000,1,74%,370,8.83,37.0443,-78.9367,Tier3
155,23,Rural (38.15°N),44.9,48000,6,61%,1822,12.51,38.1504,-79.1129,Tier3
156,153,Portsmouth,44.8,48000,1,61%,304,1.16,36.8557,-76.3369,Tier3
157,51,Ashland,44.6,48000,3,62%,930,12.61,37.7711,-77.4635,Tier3
158,258,Norfolk,44.2,48000,1,60%,298,1.05,36.8692,-76.2205,Tier3
159,243,Rural (38.45°N),44.2,48000,1,57%,287,0.68,38.4518,-78.0143,Tier3
160,145,Richmond,44.2,48000,1,60%,300,1.24,37.4718,-77.5886,Tier3
161,2,Norfolk,43.9,48000,115,74%,42628,76.65,36.8205,-76.3110,Tier3
162,134,Rural (38.26°N),43.4,48000,1,59%,294,1.11,38.2591,-76.9706,Tier3
163,211,Sterling,43.3,48000,1,59%,297,1.46,39.1084,-77.5766,Tier3
164,152,Manassas,43.1,48000,1,55%,274,0.60,38.6756,-77.3269,Tier3
165,160,Sterling,43.0,48000,1,52%,260,0.44,39.0323,-77.3845,Tier3
